,papers,Year
6,"Li, Y., Zhang, Q., Wang, G., Lu, X., 2022. Recycling schemes and supporting policies modeling for photovoltaic modules considering heterogeneous risks. Resources, Conservation and Recycling 180, 106165. https://doi.org/10.1016/j.resconrec.2022.106165",2022
24,"Zhang, Q., Liu, J., Yang, K., Liu, B., Wang, G., 2022. Market adoption simulation of electric vehicle based on social network model considering nudge policies. Energy 259, 124984. https://doi.org/10.1016/j.energy.2022.124984",2022
21,"Yan, J., Wang, G., Chen, S., Zhang, H., Qian, J., Mao, Y., 2022. Harnessing freight platforms to promote the penetration of long-haul heavy-duty hydrogen fuel-cell trucks. Energy 254, 124225. https://doi.org/10.1016/j.energy.2022.124225",2022
3,"Li, Y., Wang, G., Shen, B., Zhang, Q., Liu, B., Xu, R., 2021a. Conception and policy implications of photovoltaic modules end-of-life management in China. WIREs Energy and Environment 10, e387. https://doi.org/10.1002/wene.387",2021
4,"Li, Y., Zhang, Q., Wang, G., Liu, X., McLellan, B., 2021b. Modeling and Policy Study for Information Asymmetry Problem of Photovoltaic Module Quality in China. Emerging Markets Finance and Trade 57, 653–667. https://doi.org/10.1080/1540496X.2019.1604337",2021
10,"Teng, F., Zhang, Q., Wang, G., Liu, J., Li, H., 2021. A comprehensive review of energy blockchain: Application scenarios and development trends. Int J Energy Res er.7109. https://doi.org/10.1002/er.7109",2021
19,"Wang, G., Zhang, Q., Su, B., Shen, B., Li, Y., Li, Z., 2021. Coordination of tradable carbon emission permits market and renewable electricity certificates market in China. Energy Economics 93, 105038. https://doi.org/10.1016/j.eneco.2020.105038",2021
28,"刘雪飞, 张奇, 李彦, 余乐安, 王歌, 2020. 普惠金融支持光伏发电发展的空间效应研究. 中国管理科学 1–10.",2020
1,"Li, Y., Li, H., Wang, G., Liu, X., Zhang, Q., 2019a. Study on the optimal deployment for photovoltaic components recycle in china. Energy Procedia 158, 4298–4303. https://doi.org/10.1016/j.egypro.2019.01.794",2019
29,"张奇, 李彦, 王歌, 朱丽晶, 胡滢, 王乐, 2019. 基于复杂网络的电动汽车充电桩众筹市场信用风险建模与分析. 中国管理科学 27, 66–74.",2019
5,"Li, Y., Zhang, Q., Wang, G., Liu, X., Mclellan, B., 2019b. Promotion policies for third party financing in photovoltaic poverty alleviation projects considering social reputation. Journal of Cleaner Production 211, 350–359. https://doi.org/10.1016/j.jclepro.2018.11.179",2019
17,"Wang, G., Zhang, Q., Li, Y., Mclellan, B.C., Pan, X., 2019b. Corrective regulations on renewable energy certificates trading: pursuing an equity-efficiency trade-off. Energy Economics 80, 970–982. https://doi.org/10.1016/j.eneco.2019.03.008",2019
16,"Wang, G., Zhang, Q., Li, Y., Mclellan, B.C., 2019a. Efficient and equitable allocation of renewable portfolio standards targets among china’s provinces. Energy Policy 125, 170–180. https://doi.org/10.1016/j.enpol.2018.10.044",2019
0,"Chen, S., Zhang, Q., Wang, G., Zhu, L., Li, Y., 2018. Investment strategy for underground gas storage facilities based on real option model considering gas market reform in china. Energy Economics 70, 132–142. https://doi.org/10.1016/j.eneco.2017.12.034",2018
26,"Zhang, Q., Wang, G., Li, Y., Li, H., McLellan, B., Chen, S., 2018. Substitution effect of renewable portfolio standards and renewable energy certificate trading for feed-in tariff. Applied Energy 227, 426–435. https://doi.org/10.1016/j.apenergy.2017.07.118",2018
15,"Wang, G., Zhang, Q., Li, Y., Li, H., 2018. Policy simulation for promoting residential PV considering anecdotal information exchanges based on social network modelling. Applied Energy 223, 1–10. https://doi.org/10.1016/j.apenergy.2018.04.028",2018
9,"Tang, Y., Zhang, Q., Li, Yaoming, Wang, G., Li, Yan, 2018. Recycling mechanisms and policy suggestions for spent electric vehicles’ power battery -a case of beijing. Journal of Cleaner Production 186, 388–406. https://doi.org/10.1016/j.jclepro.2018.03.043",2018
7,"Li, Y., Zhang, Q., Wang, G., McLellan, B., Liu, X.F., Wang, L., 2018b. A review of photovoltaic poverty alleviation projects in china: current status, challenge and policy recommendations. Renewable and Sustainable Energy Reviews 94, 214–223. https://doi.org/10.1016/j.rser.2018.06.012",2018
2,"Li, Y., Wang, G., Mclellan, B., Chen, S.-Y., Zhang, Q., 2018a. Study of the impacts of upstream natural gas market reform in china on infrastructure deployment and social welfare using an SVM-based rolling horizon stochastic game analysis. Petroleum Science 15, 898–911. https://doi.org/10.1007/s12182-018-0238-x",2018
14,"Wang, G., Zhang, Q., Li, H., McLellan, B.C., Chen, S., Li, Y., Tian, Y., 2017b. Study on the promotion impact of demand response on distributed PV penetration by using non-cooperative game theoretical analysis. Applied Energy 185, 1869–1878. https://doi.org/10.1016/j.apenergy.2016.01.016",2017
13,"Wang, G., Zhang, Q., Li, H., Li, Y., Chen, S., 2017a. The impact of social network on the adoption of real-time electricity pricing mechanism. Energy Procedia 142, 3154–3159. https://doi.org/10.1016/j.egypro.2017.12.383",2017
12,"Tian, R., Zhang, Q., Wang, G., Li, H., Chen, S., Li, Y., Tian, Y., 2017. Study on the promotion of natural gas-fired electricity with energy market reform in china using a dynamic game-theoretic model. Applied Energy, Clean, Efficient and Affordable Energy for a Sustainable Future 185, Part 2, 1832–1839. https://doi.org/10.1016/j.apenergy.2015.11.079",2017
22,"Zhang, Q., Li, Y., Li, H., Wang, G., Chen, S., 2017a. Study on the impacts of the LNG market reform in china using a SVM based rolling horizon stochastic game analysis. Energy Procedia 105, 3850–3855. https://doi.org/10.1016/j.egypro.2017.03.786",2017
25,"Zhang, Q., Wang, G., Li, H., Li, Y., Chen, S., 2017b. Study on the implementation pathways and key impacts of RPS target in china using a dynamic game-theoretical equilibrium power market model. Energy Procedia 105, 3844–3849. https://doi.org/10.1016/j.egypro.2017.03.784",2017
18,"Wang, G., Zhang, Q., Mclellan, B.C., Li, H., 2016. Multi-region optimal deployment of renewable energy considering different interregional transmission scenarios. Energy, Sustainable Energy and Environmental Protection 2014 108, 108–118. https://doi.org/10.1016/j.energy.2015.08.060",2016
23,"Zhang, Q., Li, Z., Wang, G., Li, H., 2016. Study on the impacts of natural gas supply cost on gas flow and infrastructure deployment in china. Applied Energy 162, 1385–1398. https://doi.org/10.1016/j.apenergy.2015.06.058",2016
27,"Zhu, L., Lu, H., Zhang, Q., Li, H., Pan, X., Wang, G., Li, Y., 2016. Application of crowdfunding on the financing of EV’s charging piles. Energy Procedia, Clean Energy for Clean City: CUE 2016--Applied Energy Symposium and Forum: Low-Carbon Cities and Urban Energy Systems 104, 336–341. https://doi.org/10.1016/j.egypro.2016.12.057",2016
30,"陈思源, 张奇, 王歌, 李彦, 2016. 基于博弈分析的我国天然气储气库开发策略及运营模式研究. 石油科学通报 175–182.",2016
20,"Wang, G., Zhang, Q., Tian, R., Li, H., 2015. Combined impacts of RTP and FIT on optimal management for a residential micro-grid. Energy Procedia, Clean, Efficient and Affordable Energy for a Sustainable Future: The 7th International Conference on Applied Energy (ICAE2015) 75, 1666–1672. https://doi.org/10.1016/j.egypro.2015.07.410",2015
11,"Tian, R., Zhang, Q., Wang, G., 2015. Market analysis of natural gas for power generation in china. Energy Procedia, Clean, Efficient and Affordable Energy for a Sustainable Future: The 7th International Conference on Applied Energy (ICAE2015) 75, 2718–2723. https://doi.org/10.1016/j.egypro.2015.07.699",2015
8,"Su, D., Zhang, Q., Wang, G., Li, H., 2015. Market analysis of natural gas for district heating in china. Energy Procedia, Clean, Efficient and Affordable Energy for a Sustainable Future: The 7th International Conference on Applied Energy (ICAE2015) 75, 2713–2717. https://doi.org/10.1016/j.egypro.2015.07.693",2015
